Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	194
Date	2004JUL12
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.50724	[p_s^-1]
ForeOptic_temperature	39.15	[ns]
Front_temperature	39.15	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.63	[ns]
Shelter_temperature	17.43	[ns]
PSUnit_temperature	21.51	[ns]
AirCond_temperature	26.79	[ns]
Outside_temperature	24.57	[ns]
Comments	none
Formatted_file	2004194f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
346.712	417.11469	0.0002	0.0000
346.812	472.01810	0.0002	0.0000
346.912	384.74884	0.0002	0.0000
347.012	494.01520	0.0002	0.0000
347.112	459.01508	0.0002	0.0000
347.212	353.42096	0.0002	0.0000
347.312	397.09680	0.0002	0.0000
347.412	333.63092	0.0002	0.0000
347.512	287.24829	0.0002	0.0000
347.612	280.32440	0.0002	0.0000
347.712	279.45859	0.0002	0.0000
347.812	421.27008	0.0002	0.0000
347.912	436.45862	0.0002	0.0000
348.012	405.71692	0.0002	0.0000
348.112	412.25986	0.0002	0.0000
348.212	423.73969	0.0002	0.0000
348.312	334.52139	0.0002	0.0000
348.412	359.06552	0.0002	0.0000
348.512	340.64413	0.0002	0.0000
348.611	400.88666	0.0002	0.0000
348.711	511.63754	0.0002	0.0000
348.811	445.57980	0.0002	0.0000
348.911	323.25797	0.0002	0.0000
349.011	295.40405	0.0002	0.0000
349.111	299.53000	0.0002	0.0000
349.211	407.38385	0.0002	0.0000
349.311	251.89104	0.0003	0.0000
349.411	445.53207	0.0002	0.0000
349.511	408.80466	0.0002	0.0000
349.611	319.31375	0.0002	0.0000
349.711	283.36652	0.0002	0.0000
349.811	319.19440	0.0002	0.0000
349.911	518.69513	0.0002	0.0000
350.011	484.16788	0.0002	0.0000
350.111	477.51962	0.0002	0.0000
350.211	436.06308	0.0002	0.0000
350.311	534.89838	0.0002	0.0000
350.411	553.81128	0.0002	0.0000
350.511	401.19238	0.0002	0.0000
350.611	422.86896	0.0002	0.0000
350.711	443.13550	0.0002	0.0000
350.811	497.30215	0.0002	0.0000
350.911	488.69153	0.0002	0.0000
351.011	323.51608	0.0002	0.0000
351.111	444.13235	0.0002	0.0000
351.211	411.84384	0.0002	0.0000
351.311	370.87024	0.0002	0.0000
351.411	326.08826	0.0002	0.0000
351.510	298.12552	0.0002	0.0000
351.610	469.68839	0.0002	0.0000
351.710	503.25598	0.0002	0.0000
351.810	530.10864	0.0002	0.0000
351.910	501.84775	0.0002	0.0000
352.010	413.51419	0.0002	0.0000
352.110	356.40479	0.0002	0.0000
352.210	421.43488	0.0002	0.0000
352.310	387.58289	0.0002	0.0000
352.410	260.68976	0.0002	0.0000
352.510	348.44003	0.0002	0.0000
352.610	210.52068	0.0003	0.0000
352.710	365.46524	0.0002	0.0000
352.810	445.95499	0.0002	0.0000
352.910	486.47888	0.0002	0.0000
353.010	437.62750	0.0002	0.0000
